Sr. No.,Symbol,Company Name
1,RELIANCE,RELIANCE INDUSTRIES LIMITED
2,TCS,TATA CONSULTANCY SERVICES LIMITED
3,HDFCBANK,HDFC BANK LIMITED
4,ITC,ITC LIMITED
5,HDFC,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
6,HINDUNILVR,HINDUSTAN UNILEVER LIMITED
7,MARUTI,MARUTI SUZUKI INDIA LIMITED
8,INFY,INFOSYS LIMITED
9,ONGC,OIL & NATURAL GAS CORPORATION LIMITED
10,SBIN,STATE BANK OF INDIA
11,KOTAKBANK,KOTAK MAHINDRA BANK LIMITED
12,LT,LARSEN & TOUBRO LIMITED
13,ICICIBANK,ICICI BANK LIMITED
14,COALINDIA,COAL INDIA LIMITED
15,IOC,INDIAN OIL CORPORATION LIMITED
16,BHARTIARTL,BHARTI AIRTEL LIMITED
17,NTPC,NTPC LIMITED
18,HCLTECH,HCL TECHNOLOGIES LIMITED
19,AXISBANK,AXIS BANK LIMITED
20,WIPRO,WIPRO LIMITED
21,HINDZINC,HINDUSTAN ZINC LIMITED
22,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LIMITED
23,ULTRACEMCO,ULTRATECH CEMENT LIMITED
24,INDUSINDBK,INDUSIND BANK LIMITED
25,ASIANPAINT,ASIAN PAINTS LIMITED
26,VEDL,VEDANTA LIMITED
27,BAJFINANCE,BAJAJ FINANCE LIMITED
28,POWERGRID,POWER GRID CORPORATION OF INDIA LIMITED
29,TATAMOTORS,TATA MOTORS LIMITED
30,BPCL,BHARAT PETROLEUM CORPORATION LIMITED
31,M&M,MAHINDRA & MAHINDRA LIMITED
32,HDFCLIFE,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED
33,TITAN,TITAN COMPANY LIMITED
34,DMART,AVENUE SUPERMARTS LIMITED
35,BAJAJFINSV,BAJAJ FINSERV LIMITED
36,BAJAJ-AUTO,BAJAJ AUTO LIMITED
37,EICHERMOT,EICHER MOTORS LIMITED
38,GODREJCP,GODREJ CONSUMER PRODUCTS LIMITED
39,GAIL,GAIL (INDIA) LIMITED
40,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED
41,HEROMOTOCO,HERO MOTOCORP LIMITED
42,YESBANK,YES BANK LIMITED
43,JSWSTEEL,JSW STEEL LIMITED
44,GRASIM,GRASIM INDUSTRIES LIMITED
45,SBILIFE,SBI LIFE INSURANCE COMPANY LIMITED
46,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LIMITED
47,GICRE,GENERAL INSURANCE CORPORATION OF INDIA
48,TATASTEEL,TATA STEEL LIMITED
49,TECHM,TECH MAHINDRA LIMITED
50,INFRATEL,BHARTI INFRATEL LIMITED
51,BRITANNIA,BRITANNIA INDUSTRIES LIMITED
52,NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED
53,DABUR,DABUR INDIA LIMITED
54,SHREECEM,SHREE CEMENT LIMITED
55,BANDHANBNK,BANDHAN BANK LIMITED
56,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED
57,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LIMITED
58,BOSCHLTD,BOSCH LIMITED
59,IBULHSGFIN,INDIABULLS HOUSING FINANCE LIMITED
60,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LIMITED
61,INDIGO,INTERGLOBE AVIATION LIMITED
62,HINDALCO,HINDALCO INDUSTRIES LIMITED
63,PIDILITIND,PIDILITE INDUSTRIES LIMITED
64,AMBUJACEM,AMBUJA CEMENTS LIMITED
65,MCDOWELL-N,UNITED SPIRITS LIMITED
66,CIPLA,CIPLA LIMITED
67,PEL,PIRAMAL ENTERPRISES LIMITED
68,ASHOKLEY,ASHOK LEYLAND LIMITED
69,MARICO,MARICO LIMITED
70,CADILAHC,CADILA HEALTHCARE LIMITED
71,SIEMENS,SIEMENS LIMITED
72,HAL,HINDUSTAN AERONAUTICS LIMITED
73,NMDC,NMDC LIMITED
74,UPL,UPL LIMITED
75,ICICIGI,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED
76,DLF,DLF LIMITED
77,BIOCON,BIOCON LIMITED
78,BEL,BHARAT ELECTRONICS LIMITED
79,PETRONET,PETRONET LNG LIMITED
80,DRREDDY,DR. REDDY'S LABORATORIES LIMITED
81,SUNTV,SUN TV NETWORK LIMITED
82,LUPIN,LUPIN LIMITED
83,IDEA,IDEA CELLULAR LIMITED
84,BANKBARODA,BANK OF BARODA
85,AUROPHARMA,AUROBINDO PHARMA LIMITED
86,SRTRANSFIN,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED
87,BHARATFORG,BHARAT FORGE LIMITED
88,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED
89,OFSS,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED
90,PGHH,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED
91,MRF,MRF LIMITED
92,HAVELLS,HAVELLS INDIA LIMITED
93,CONCOR,CONTAINER CORPORATION OF INDIA LIMITED
94,BHEL,BHARAT HEAVY ELECTRICALS LIMITED
95,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED
96,TVSMOTOR,TVS MOTOR COMPANY LIMITED
97,SAIL,STEEL AUTHORITY OF INDIA LIMITED
98,DIVISLAB,DIVI'S LABORATORIES LIMITED
99,COLPAL,COLGATE PALMOLIVE (INDIA) LIMITED
100,L&TFH,L&T FINANCE HOLDINGS LIMITED
101,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED
102,NHPC,NHPC LIMITED
103,ACC,ACC LIMITED
104,FRETAIL,FUTURE RETAIL LIMITED
105,ABB,ABB INDIA LIMITED
106,KANSAINER,KANSAI NEROLAC PAINTS LIMITED
107,LICHSGFIN,LIC HOUSING FINANCE LIMITED
108,GSKCONS,GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED
109,DALMIABHA,DALMIA BHARAT LIMITED
110,PAGEIND,PAGE INDUSTRIES LIMITED
111,UBL,UNITED BREWERIES LIMITED
112,BERGEPAINT,BERGER PAINTS (I) LIMITED
113,RECLTD,RURAL ELECTRIFICATION CORPORATION LIMITED
114,OIL,OIL INDIA LIMITED
115,EMAMILTD,EMAMI LIMITED
116,ALKEM,ALKEM LABORATORIES LIMITED
117,VAKRANGEE,VAKRANGEE LIMITED
118,PNB,PUNJAB NATIONAL BANK
119,LTI,LARSEN & TOUBRO INFOTECH LIMITED
120,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
121,PFC,POWER FINANCE CORPORATION LIMITED
122,IIFL,IIFL HOLDINGS LIMITED
123,3MINDIA,3M INDIA LIMITED
